Mots,Effectif,Longueur,Partie
s'attardèrent,1,14,1
savez,1,5,1
cinquante-quatre,2,16,1
répondit,18,9,1
changé,1,7,1
cognait,1,7,1
déboulaient,1,12,1
veut,2,4,1
été,4,5,1
gestes,1,6,1
fout,1,4,1
craignant,1,9,1
descendait,5,10,1
luisaient,2,9,1
veux,3,4,1
soutenant,1,9,1
grossies,1,8,1
soufflé,1,8,1
effronterie,2,11,1
s'envolèrent,1,13,1
remirent,1,8,1
devenir,1,7,1
fonçait,1,8,1
pensions,1,8,1
subitement,2,10,1
s'arrêta,5,9,1
amassés,1,8,1
trempaient,1,10,1
coucou,2,6,1
aux,44,3,1
traînaient,1,11,1
prétextant,1,11,1
arrachées,1,10,1
grognement,3,10,1
devina,1,6,1
nul,1,3,1
Henri,3,5,1
neuf,5,4,1
voie,15,4,1
d'Etienne,5,9,1
échappée,1,10,1
bâti,2,5,1
voix,25,4,1
échappement,1,12,1
tandis,21,6,1
voir,11,4,1
tranquillement,4,14,1
s'expliquait,1,12,1
s'ouvraient,2,11,1
glacer,1,6,1
jetée,1,6,1
mortelles,1,9,1
mauvais,4,7,1
n'entendirent,1,13,1
rendant,1,7,1
venue,2,5,1
prodigué,1,9,1
claquement,1,10,1
demandé,1,8,1
d'enfants,1,9,1
hanches,4,7,1
humeur,2,6,1
faisaient,3,9,1
venus,1,5,1
réflecteurs,1,12,1
gigantesques,1,12,1
couvait,1,7,1
culbutant,1,9,1
continuait,5,10,1
force,9,5,1
chauffer,3,8,1
fichons,1,7,1
d'exclure,1,9,1
chaises,3,7,1
s'empoisonnait,1,14,1
histoire,2,8,1
chez,7,4,1
préoccuper,1,11,1
gîte,1,5,1
tirer,1,5,1
hors,5,4,1
fourni,1,6,1
l'attente,1,9,1
reparurent,1,10,1
corvée,1,7,1
plaisantait,1,11,1
berline,17,7,1
porions,1,7,1
sécher,1,7,1
anxieux,1,7,1
l'avoir,2,7,1
nef,2,3,1
muet,1,4,1
masque,1,6,1
Heureusement,2,12,1
corbeilles,2,10,1
crevait,1,7,1
l'emplir,1,8,1
reproches,1,9,1
devint,1,6,1
haletait,1,8,1
Mme,1,3,1
chaleur,6,7,1
propre,5,6,1
refroidissait,1,13,1
exclamations,1,12,1
dort,1,4,1
dors,1,4,1
leviers,2,7,1
scrofules,1,9,1
boisait,1,7,1
neveu,2,5,1
ricanement,1,10,1
mes,3,3,1
mer,1,3,1
côté,3,6,1
remet,1,5,1
payé,2,5,1
n'ouvraient,1,11,1
catastrophe,1,11,1
où,33,3,1
devra,1,5,1
D'ailleurs,2,10,1
endroit,1,7,1
taper,1,5,1
menton,3,6,1
emplie,2,6,1
criblage,4,8,1
parlant,1,7,1
couraient,1,9,1
permis,4,6,1
dirigé,1,7,1
sorcière,1,9,1
cages,11,5,1
permit,1,6,1
comique,1,7,1
resta,8,5,1
aura,1,4,1
reste,14,5,1
l'indécence,1,12,1
lourd,5,5,1
filant,1,6,1
d'elle,3,6,1
enfoncé,1,8,1
s'imaginant,1,11,1
provision,2,9,1
dormaient,2,9,1
aciers,1,6,1
brouillard,1,10,1
qu'à,2,5,1
cria-t-il,1,9,1
boisage,6,7,1
raide,3,5,1
Personne,1,8,1
tels,1,4,1
confondus,1,9,1
leurs,31,5,1
marchera,1,8,1
bouchées,1,9,1
huilée,1,7,1
dévorateur,1,11,1
trouvé,3,7,1
clôtures,1,9,1
vol,3,3,1
filait,2,6,1
formes,1,6,1
assez,5,5,1
santé,1,6,1
livide,3,6,1
lavages,1,7,1
mois,5,4,1
avaler,1,6,1
emballait,1,9,1
nord,2,4,1
fissure,1,7,1
turent,1,6,1
verdâtre,2,9,1
pouce,1,5,1
colère,4,7,1
roues,4,5,1
voilà,14,6,1
reflets,2,7,1
reboisez-moi,1,12,1
résignée,2,10,1
lampiste,1,8,1
bougres,1,7,1
sortir,5,6,1
faussaient,1,10,1
réclamations,1,13,1
crachat,1,7,1
me,18,2,1
vivantes,2,8,1
te,11,2,1
ma,2,2,1
biais,2,5,1
étroits,2,8,1
Paul,1,4,1
écrase,1,7,1
garrotté,1,9,1
débarquait,1,11,1
Voreux,18,6,1
presque,1,7,1
chevalets,1,9,1
enroulés,1,9,1
refuserait,1,10,1
revenant,1,8,1
sortait,6,7,1
pénible,2,8,1
solives,1,7,1
avaient,8,7,1
il,272,2,1
L'homme,3,7,1
ratisser,1,8,1
Le,41,2,1
Quand,15,5,1
secoués,1,8,1
serpent,1,7,1
La,35,2,1
replongea,1,9,1
désapprouvaient,1,16,1
fichu,1,5,1
vos,3,3,1
eussent,1,7,1
l'oreille,6,9,1
rythme,1,6,1
découverte,1,11,1
dormait,5,7,1
misères,1,8,1
baraque,6,7,1
chaussés,1,9,1
voulait,6,7,1
pauvre,1,6,1
aigu,1,4,1
quotidien,1,9,1
fiche,5,5,1
l'as,2,4,1
arrosé,1,7,1
peints,1,6,1
occupaient,2,10,1
téter,1,6,1
plongeait,1,9,1
pratiquait,1,10,1
Attention,3,9,1
remplissaient,1,13,1
accompagné,1,11,1
l'ébrouement,1,13,1
machine,7,7,1
donnaient,4,9,1
respectueusement,1,16,1
éclairait,2,10,1
coulait,1,7,1
nombre,3,6,1
quoi,7,4,1
allumette,1,9,1
trempée,1,8,1
cadence,1,7,1
l'ai,1,4,1
A,11,1,1
las,1,3,1
parallèles,1,11,1
préparer,1,9,1
labourait,1,9,1
retentissante,1,13,1
choléra,1,8,1
tôt,2,4,1
suivait,4,7,1
être,14,5,1
dévorer,1,8,1
surmonté,1,9,1
froncée,1,8,1
protégée,1,10,1
allée,1,6,1
arrivons,1,8,1
gradins,1,7,1
ronronnait,1,10,1
laquelle,1,8,1
cuisse,1,6,1
d'avoir,8,7,1
annonça,1,8,1
gâchis,1,7,1
barrée,1,7,1
tremblant,1,9,1
sentit,2,6,1
projet,2,6,1
trémies,2,8,1
descendu,3,8,1
cruche,1,6,1
Bonsoir,1,7,1
échelle,2,8,1
conséquence,1,12,1
époque,1,7,1
peinte,1,6,1
environ,2,7,1
sentie,1,6,1
Rouge,1,5,1
l'inquiétait,1,13,1
descende,1,8,1
dégoûté,1,10,1
peux,5,4,1
butait,1,6,1
substituer,1,10,1
peur,10,4,1
envolée,1,8,1
Depuis,7,6,1
rire,13,4,1
peut,2,4,1
délayait,1,9,1
Belge,1,5,1
joie,6,4,1
verticales,1,10,1
fourmilière,1,12,1
j'allais,1,8,1
afin,2,4,1
centrale,1,8,1
brutal,1,6,1
décidait,2,9,1
enfants,8,7,1
famille,5,7,1
vite,5,4,1
envolés,1,8,1
chatte,1,6,1
fit,12,3,1
