Mots,Effectif,Longueur,Partie
commis,3,6,3
n'être,1,7,3
gestes,3,6,3
répondit,5,9,3
train-là,1,9,3
savez,2,5,3
redoutait,2,9,3
appelé,1,7,3
four,1,4,3
été,4,5,3
étoffe,1,7,3
s'occuper,2,9,3
mirage,1,6,3
descendait,2,10,3
luisaient,1,9,3
veux,2,4,3
souffrant,1,9,3
d'avril,1,7,3
soufflé,2,8,3
voter,1,5,3
volantes,1,8,3
l'organisation,1,14,3
voulez,2,6,3
lourd,4,5,3
pensions,1,8,3
lors,4,4,3
drap,2,4,3
s'arrêta,1,9,3
bouleversaient,1,14,3
coucou,3,6,3
Joues-tu,1,8,3
allongeait-il,1,13,3
aurons,1,6,3
aux,41,3,3
traînaient,3,11,3
d'arrêter,1,10,3
parie,1,5,3
grognement,1,10,3
billard,1,7,3
compensée,1,10,3
imaginé,1,8,3
savaient,2,8,3
s'arrête,1,9,3
neuf,6,4,3
voie,1,4,3
invétérée,1,12,3
d'Etienne,7,9,3
rotondité,1,10,3
s'attarder,1,10,3
rareté,1,7,3
rêver,1,6,3
voix,13,4,3
lecture,4,7,3
tandis,22,6,3
voit,1,4,3
vingt-deux,1,10,3
voir,12,4,3
tranquillement,5,14,3
Révolution,1,11,3
geignait,1,8,3
veut,2,4,3
s'ébrouait,1,11,3
fous,1,4,3
pioches,1,7,3
rendant,1,7,3
venue,4,5,3
approuvaient,1,12,3
vainqueur,1,9,3
jetés,1,6,3
dissipait,1,9,3
humeur,1,6,3
faisaient,8,9,3
venus,1,5,3
tordus,1,6,3
Malgré,1,7,3
Vois-tu,2,7,3
peut-être,8,10,3
continuait,5,10,3
pleure,1,6,3
cher,1,4,3
luisants,1,8,3
promener,1,8,3
bouilli,2,7,3
portant,2,7,3
Avec,1,4,3
histoire,4,8,3
chez,29,4,3
accrochait,2,10,3
chef,1,4,3
locataire,1,9,3
gobergeaient,1,12,3
Tape,1,4,3
pleurs,1,6,3
n'ai,2,4,3
l'attente,2,9,3
abusaient,1,9,3
corvée,2,7,3
plaisantait,2,11,3
berline,9,7,3
ruait,1,5,3
descendit,1,9,3
anxieux,1,7,3
céder,2,6,3
l'avoir,1,7,3
muet,3,4,3
calcul,3,6,3
crevait,1,7,3
maladive,1,8,3
nez,7,3,3
familles,2,8,3
sobre,2,5,3
Mme,8,3,3
chaleur,2,7,3
propre,2,6,3
précisait,1,10,3
tonneau,1,7,3
arraché,1,8,3
chantiers,4,9,3
danseurs,2,8,3
casquettes,1,10,3
voici,1,5,3
donnerais,2,9,3
meurt,1,5,3
luttât,1,7,3
mes,3,3,3
mer,2,3,3
côté,8,6,3
cadavre,5,7,3
souliers,3,8,3
payé,4,5,3
où,47,3,3
connaissance,4,12,3
D'ailleurs,5,10,3
rêvassant,1,10,3
taper,1,5,3
naturel,2,7,3
Paisiblement,1,12,3
pipes,1,5,3
changea,1,7,3
permis,1,6,3
disparaissait,2,13,3
cages,4,5,3
gardaient,1,9,3
inquiète,1,9,3
que,206,3,3
filaient,1,8,3
emplis,1,6,3
changer,3,7,3
reste,13,5,3
croisait,1,8,3
hochements,1,10,3
verdure,2,7,3
livrets,1,7,3
d'elle,5,6,3
ébranlant,1,10,3
économies,2,10,3
dormaient,2,9,3
passèrent,1,10,3
traitait,1,8,3
qu'à,4,5,3
outre,4,5,3
révélèrent,1,13,3
retraite,1,8,3
s'embellissait,1,14,3
montante,1,8,3
compris,1,7,3
tels,1,4,3
triompher,1,9,3
puisqu'on,2,9,3
Dehors,4,6,3
leurs,26,5,3
