de;1319;2;1
la;975;2;2
le;659;2;3
les;642;3;4
à;526;2;5
et;510;2;6
des;453;3;7
il;409;2;8
en;307;2;9
un;304;2;10
que;302;3;11
se;292;2;12
une;263;3;13
qui;239;3;14
ne;231;2;15
du;224;2;16
dans;216;4;17
pas;215;3;18
pour;177;4;19
lui;169;3;20
elle;165;4;21
son;163;3;22
au;163;2;23
avait;149;5;24
ce;142;2;25
sur;141;3;26
sa;141;2;27
Il;138;2;28
on;134;2;29
par;130;3;30
plus;127;4;31
nous;116;4;32
avec;114;4;33
était;113;6;34
qu'il;104;5;35
comme;103;5;36
si;101;2;37
Et;100;2;38
Etienne;98;7;39
je;91;2;40
vous;90;4;41
tout;90;4;42
ses;89;3;43
ils;84;3;44
d'un;84;4;45
Mais;81;4;46
aux;80;3;47
leur;78;4;48
cette;74;5;49
sans;72;4;50
d'une;71;5;51
où;63;3;52
deux;61;4;53
encore;58;6;54
bien;58;4;55
y;55;1;56
ça;53;3;57
dont;53;4;58
sous;52;4;59
faire;52;5;60
Hennebeau;52;9;61
ces;51;3;62
mais;50;4;63
qu'on;49;5;64
La;49;2;65
tous;48;4;66
même;48;5;67
Les;48;3;68
a;46;1;69
M;45;1;70
tu;44;2;71
Le;44;2;72
qu'elle;42;7;73
chez;42;4;74
grève;41;6;75
Maheu;41;5;76
s'était;40;8;77
devant;40;6;78
On;40;2;79
n'avait;39;7;80
homme;39;5;81
c'est;39;5;82
Compagnie;39;9;83
C'était;39;8;84
voix;38;4;85
toujours;38;8;86
depuis;37;6;87
rien;36;4;88
fut;35;3;89
fait;35;4;90
est;35;3;91
autres;34;6;92
Elle;34;4;93
leurs;33;5;94
femme;33;5;95
Un;33;2;96
C'est;33;5;97
tête;32;5;98
peu;32;3;99
Montsou;32;7;100
