Mots,Partie,Chapitre,Paragraphe,Phrase
I,5,1,1,1
A,5,1,2,1
quatre,5,1,2,1
heures,5,1,2,1
la,5,1,2,1
lune,5,1,2,1
s'était,5,1,2,1
couchée,5,1,2,1
il,5,1,2,1
faisait,5,1,2,1
une,5,1,2,1
nuit,5,1,2,1
très,5,1,2,1
noire,5,1,2,1
Tout,5,1,2,2
dormait,5,1,2,2
encore,5,1,2,2
chez,5,1,2,2
les,5,1,2,2
Deneulin,5,1,2,2
la,5,1,2,2
vieille,5,1,2,2
maison,5,1,2,2
de,5,1,2,2
briques,5,1,2,2
restait,5,1,2,2
muette,5,1,2,2
et,5,1,2,2
sombre,5,1,2,2
portes,5,1,2,2
et,5,1,2,2
fenêtres,5,1,2,2
closes,5,1,2,2
au,5,1,2,2
bout,5,1,2,2
du,5,1,2,2
vaste,5,1,2,2
jardin,5,1,2,2
mal,5,1,2,2
tenu,5,1,2,2
qui,5,1,2,2
la,5,1,2,2
séparait,5,1,2,2
de,5,1,2,2
la,5,1,2,2
fosse,5,1,2,2
Jean-Bart,5,1,2,2
Sur,5,1,2,3
l'autre,5,1,2,3
façade,5,1,2,3
passait,5,1,2,3
la,5,1,2,3
route,5,1,2,3
déserte,5,1,2,3
de,5,1,2,3
Vandame,5,1,2,3
un,5,1,2,3
gros,5,1,2,3
bourg,5,1,2,3
caché,5,1,2,3
derrière,5,1,2,3
la,5,1,2,3
forêt,5,1,2,3
à,5,1,2,3
trois,5,1,2,3
kilomètres,5,1,2,3
environ,5,1,2,3
Deneulin,5,1,3,1
las,5,1,3,1
d'avoir,5,1,3,1
passé,5,1,3,1
la,5,1,3,1
veille,5,1,3,1
une,5,1,3,1
partie,5,1,3,1
de,5,1,3,1
la,5,1,3,1
journée,5,1,3,1
au,5,1,3,1
fond,5,1,3,1
ronflait,5,1,3,1
le,5,1,3,1
nez,5,1,3,1
contre,5,1,3,1
le,5,1,3,1
mur,5,1,3,1
lorsqu'il,5,1,3,1
rêva,5,1,3,1
qu'on,5,1,3,1
l'appelait,5,1,3,1
Il,5,1,3,2
finit,5,1,3,2
par,5,1,3,2
s'éveiller,5,1,3,2
entendit,5,1,3,2
réellement,5,1,3,2
une,5,1,3,2
voix,5,1,3,2
courut,5,1,3,2
ouvrir,5,1,3,2
la,5,1,3,2
fenêtre,5,1,3,2
C'était,5,1,3,3
un,5,1,3,3
de,5,1,3,3
ses,5,1,3,3
porions,5,1,3,3
debout,5,1,3,3
dans,5,1,3,3
le,5,1,3,3
jardin,5,1,3,3
Quoi,5,1,4,1
donc,5,1,4,1
demanda-t-il,5,1,4,2
Monsieur,5,1,5,1
c'est,5,1,5,1
une,5,1,5,1
révolte,5,1,5,1
la,5,1,5,1
moitié,5,1,5,1
des,5,1,5,1
hommes,5,1,5,1
ne,5,1,5,1
veulent,5,1,5,1
plus,5,1,5,1
travailler,5,1,5,1
et,5,1,5,1
empêchent,5,1,5,1
les,5,1,5,1
autres,5,1,5,1
de,5,1,5,1
descendre,5,1,5,1
Il,5,1,6,1
comprenait,5,1,6,1
mal,5,1,6,1
la,5,1,6,1
tête,5,1,6,1
lourde,5,1,6,1
et,5,1,6,1
bourdonnante,5,1,6,1
de,5,1,6,1
sommeil,5,1,6,1
saisi,5,1,6,1
par,5,1,6,1
le,5,1,6,1
grand,5,1,6,1
froid,5,1,6,1
comme,5,1,6,1
par,5,1,6,1
une,5,1,6,1
douche,5,1,6,1
glacée,5,1,6,1
Forcez-les,5,1,7,1
à,5,1,7,1
descendre,5,1,7,1
sacrebleu,5,1,7,1
bégaya-t-il,5,1,7,2
Voilà,5,1,8,1
une,5,1,8,1
heure,5,1,8,1
que,5,1,8,1
ça,5,1,8,1
dure,5,1,8,1
reprit,5,1,8,1
le,5,1,8,1
porion,5,1,8,1
Alors,5,1,8,2
nous,5,1,8,2
avons,5,1,8,2
eu,5,1,8,2
l'idée,5,1,8,2
de,5,1,8,2
venir,5,1,8,2
vous,5,1,8,2
chercher,5,1,8,2
Il,5,1,8,3
n'y,5,1,8,3
a,5,1,8,3
que,5,1,8,3
vous,5,1,8,3
qui,5,1,8,3
leur,5,1,8,3
ferez,5,1,8,3
peut-être,5,1,8,3
entendre,5,1,8,3
raison,5,1,8,3
C'est,5,1,9,1
bien,5,1,9,1
j'y,5,1,9,1
vais,5,1,9,1
Vivement,5,1,10,1
il,5,1,10,1
s'habilla,5,1,10,1
l'esprit,5,1,10,1
net,5,1,10,1
maintenant,5,1,10,1
très,5,1,10,1
inquiet,5,1,10,1
On,5,1,10,2
aurait,5,1,10,2
pu,5,1,10,2
piller,5,1,10,2
la,5,1,10,2
maison,5,1,10,2
ni,5,1,10,2
la,5,1,10,2
cuisinière,5,1,10,2
ni,5,1,10,2
le,5,1,10,2
domestique,5,1,10,2
n'avait,5,1,10,2
bougé,5,1,10,2
Mais,5,1,10,3
de,5,1,10,3
l'autre,5,1,10,3
côté,5,1,10,3
du,5,1,10,3
palier,5,1,10,3
des,5,1,10,3
voix,5,1,10,3
alarmées,5,1,10,3
chuchotaient,5,1,10,3
et,5,1,10,3
lorsqu'il,5,1,10,3
sortit,5,1,10,3
il,5,1,10,3
vit,5,1,10,3
s'ouvrir,5,1,10,3
la,5,1,10,3
porte,5,1,10,3
de,5,1,10,3
ses,5,1,10,3
filles,5,1,10,3
qui,5,1,10,3
toutes,5,1,10,3
deux,5,1,10,3
parurent,5,1,10,3
vêtues,5,1,10,3
de,5,1,10,3
peignoirs,5,1,10,3
blancs,5,1,10,3
passés,5,1,10,3
à,5,1,10,3
la,5,1,10,3
hâte,5,1,10,3
Père,5,1,11,1
qu'y,5,1,11,1
a-t-il,5,1,11,1
L'aînée,5,1,12,1
Lucie,5,1,12,1
avait,5,1,12,1
vingt-deux,5,1,12,1
ans,5,1,12,1
déjà,5,1,12,1
grande,5,1,12,1
brune,5,1,12,1
l'air,5,1,12,1
superbe,5,1,12,1
tandis,5,1,12,1
que,5,1,12,1
Jeanne,5,1,12,1
la,5,1,12,1
cadette,5,1,12,1
âgée,5,1,12,1
de,5,1,12,1
dix-neuf,5,1,12,1
ans,5,1,12,1
à,5,1,12,1
peine,5,1,12,1
était,5,1,12,1
petite,5,1,12,1
les,5,1,12,1
cheveux,5,1,12,1
dorés,5,1,12,1
d'une,5,1,12,1
grâce,5,1,12,1
caressante,5,1,12,1
Rien,5,1,13,1
de,5,1,13,1
grave,5,1,13,1
répondit-il,5,1,13,1
pour,5,1,13,1
les,5,1,13,1
rassurer,5,1,13,1
Il,5,1,13,2
paraît,5,1,13,2
que,5,1,13,2
des,5,1,13,2
tapageurs,5,1,13,2
font,5,1,13,2
du,5,1,13,2
bruit,5,1,13,2
là-bas,5,1,13,2
Je,5,1,13,3
vais,5,1,13,3
voir,5,1,13,3
Mais,5,1,14,1
elles,5,1,14,1
se,5,1,14,1
récrièrent,5,1,14,1
elles,5,1,14,1
ne,5,1,14,1
voulaient,5,1,14,1
pas,5,1,14,1
le,5,1,14,1
laisser,5,1,14,1
partir,5,1,14,1
sans,5,1,14,1
qu'il,5,1,14,1
prît,5,1,14,1
