Mots,Partie,Chapitre,Paragraphe,Phrase
I,3,1,1,1
Le,3,1,2,1
lendemain,3,1,2,1
les,3,1,2,1
jours,3,1,2,1
suivants,3,1,2,1
Etienne,3,1,2,1
reprit,3,1,2,1
son,3,1,2,1
travail,3,1,2,1
à,3,1,2,1
la,3,1,2,1
fosse,3,1,2,1
Il,3,1,2,2
s'accoutumait,3,1,2,2
son,3,1,2,2
existence,3,1,2,2
se,3,1,2,2
réglait,3,1,2,2
sur,3,1,2,2
cette,3,1,2,2
besogne,3,1,2,2
et,3,1,2,2
ces,3,1,2,2
habitudes,3,1,2,2
nouvelles,3,1,2,2
qui,3,1,2,2
lui,3,1,2,2
avaient,3,1,2,2
paru,3,1,2,2
si,3,1,2,2
dures,3,1,2,2
au,3,1,2,2
début,3,1,2,2
Une,3,1,2,3
seule,3,1,2,3
aventure,3,1,2,3
coupa,3,1,2,3
la,3,1,2,3
monotonie,3,1,2,3
de,3,1,2,3
la,3,1,2,3
première,3,1,2,3
quinzaine,3,1,2,3
une,3,1,2,3
fièvre,3,1,2,3
éphémère,3,1,2,3
qui,3,1,2,3
le,3,1,2,3
tint,3,1,2,3
quarante-huit,3,1,2,3
heures,3,1,2,3
au,3,1,2,3
lit,3,1,2,3
les,3,1,2,3
membres,3,1,2,3
brisés,3,1,2,3
la,3,1,2,3
tête,3,1,2,3
brûlante,3,1,2,3
rêvassant,3,1,2,3
dans,3,1,2,3
un,3,1,2,3
demi-délire,3,1,2,3
qu'il,3,1,2,3
poussait,3,1,2,3
sa,3,1,2,3
berline,3,1,2,3
au,3,1,2,3
fond,3,1,2,3
d'une,3,1,2,3
voie,3,1,2,3
trop,3,1,2,3
étroite,3,1,2,3
où,3,1,2,3
son,3,1,2,3
corps,3,1,2,3
ne,3,1,2,3
pouvait,3,1,2,3
passer,3,1,2,3
C'était,3,1,2,4
simplement,3,1,2,4
la,3,1,2,4
courbature,3,1,2,4
de,3,1,2,4
l'apprentissage,3,1,2,4
un,3,1,2,4
excès,3,1,2,4
de,3,1,2,4
fatigue,3,1,2,4
dont,3,1,2,4
il,3,1,2,4
se,3,1,2,4
remit,3,1,2,4
tout,3,1,2,4
de,3,1,2,4
suite,3,1,2,4
Et,3,1,3,1
les,3,1,3,1
jours,3,1,3,1
succédaient,3,1,3,1
aux,3,1,3,1
jours,3,1,3,1
des,3,1,3,1
semaines,3,1,3,1
des,3,1,3,1
mois,3,1,3,1
s'écoulèrent,3,1,3,1
Maintenant,3,1,3,2
comme,3,1,3,2
les,3,1,3,2
camarades,3,1,3,2
il,3,1,3,2
se,3,1,3,2
levait,3,1,3,2
à,3,1,3,2
trois,3,1,3,2
heures,3,1,3,2
buvait,3,1,3,2
le,3,1,3,2
café,3,1,3,2
emportait,3,1,3,2
la,3,1,3,2
double,3,1,3,2
tartine,3,1,3,2
que,3,1,3,2
Mme,3,1,3,2
Rasseneur,3,1,3,2
lui,3,1,3,2
préparait,3,1,3,2
dès,3,1,3,2
la,3,1,3,2
veille,3,1,3,2
Régulièrement,3,1,3,3
en,3,1,3,3
se,3,1,3,3
rendant,3,1,3,3
le,3,1,3,3
matin,3,1,3,3
à,3,1,3,3
la,3,1,3,3
fosse,3,1,3,3
il,3,1,3,3
rencontrait,3,1,3,3
le,3,1,3,3
vieux,3,1,3,3
Bonnemort,3,1,3,3
qui,3,1,3,3
allait,3,1,3,3
se,3,1,3,3
coucher,3,1,3,3
et,3,1,3,3
en,3,1,3,3
sortant,3,1,3,3
l'après-midi,3,1,3,3
il,3,1,3,3
se,3,1,3,3
croisait,3,1,3,3
avec,3,1,3,3
Bouteloup,3,1,3,3
qui,3,1,3,3
arrivait,3,1,3,3
prendre,3,1,3,3
sa,3,1,3,3
tâche,3,1,3,3
Il,3,1,3,4
avait,3,1,3,4
le,3,1,3,4
béguin,3,1,3,4
la,3,1,3,4
culotte,3,1,3,4
la,3,1,3,4
veste,3,1,3,4
de,3,1,3,4
toile,3,1,3,4
il,3,1,3,4
grelottait,3,1,3,4
et,3,1,3,4
il,3,1,3,4
se,3,1,3,4
chauffait,3,1,3,4
le,3,1,3,4
dos,3,1,3,4
à,3,1,3,4
la,3,1,3,4
baraque,3,1,3,4
devant,3,1,3,4
le,3,1,3,4
grand,3,1,3,4
feu,3,1,3,4
Puis,3,1,3,5
venait,3,1,3,5
l'attente,3,1,3,5
pieds,3,1,3,5
nus,3,1,3,5
à,3,1,3,5
la,3,1,3,5
recette,3,1,3,5
traversée,3,1,3,5
de,3,1,3,5
furieux,3,1,3,5
courants,3,1,3,5
d'air,3,1,3,5
Mais,3,1,3,6
la,3,1,3,6
machine,3,1,3,6
dont,3,1,3,6
les,3,1,3,6
gros,3,1,3,6
membres,3,1,3,6
d'acier,3,1,3,6
étoilés,3,1,3,6
de,3,1,3,6
cuivre,3,1,3,6
luisaient,3,1,3,6
là-haut,3,1,3,6
dans,3,1,3,6
l'ombre,3,1,3,6
ne,3,1,3,6
le,3,1,3,6
préoccupait,3,1,3,6
plus,3,1,3,6
ni,3,1,3,6
les,3,1,3,6
câbles,3,1,3,6
qui,3,1,3,6
filaient,3,1,3,6
d'une,3,1,3,6
aile,3,1,3,6
noire,3,1,3,6
et,3,1,3,6
muette,3,1,3,6
d'oiseau,3,1,3,6
nocturne,3,1,3,6
ni,3,1,3,6
les,3,1,3,6
cages,3,1,3,6
émergeant,3,1,3,6
et,3,1,3,6
plongeant,3,1,3,6
sans,3,1,3,6
cesse,3,1,3,6
au,3,1,3,6
milieu,3,1,3,6
du,3,1,3,6
vacarme,3,1,3,6
des,3,1,3,6
signaux,3,1,3,6
des,3,1,3,6
ordres,3,1,3,6
criés,3,1,3,6
des,3,1,3,6
berlines,3,1,3,6
ébranlant,3,1,3,6
les,3,1,3,6
dalles,3,1,3,6
de,3,1,3,6
fonte,3,1,3,6
Sa,3,1,3,7
lampe,3,1,3,7
brûlait,3,1,3,7
mal,3,1,3,7
ce,3,1,3,7
sacré,3,1,3,7
lampiste,3,1,3,7
n'avait,3,1,3,7
pas,3,1,3,7
dû,3,1,3,7
la,3,1,3,7
nettoyer,3,1,3,7
et,3,1,3,7
il,3,1,3,7
ne,3,1,3,7
se,3,1,3,7
dégourdissait,3,1,3,7
que,3,1,3,7
lorsque,3,1,3,7
Mouquet,3,1,3,7
les,3,1,3,7
emballait,3,1,3,7
tous,3,1,3,7
avec,3,1,3,7
des,3,1,3,7
claques,3,1,3,7
de,3,1,3,7
farceur,3,1,3,7
qui,3,1,3,7
sonnaient,3,1,3,7
sur,3,1,3,7
le,3,1,3,7
derrière,3,1,3,7
des,3,1,3,7
filles,3,1,3,7
La,3,1,3,8
cage,3,1,3,8
se,3,1,3,8
décrochait,3,1,3,8
tombait,3,1,3,8
comme,3,1,3,8
une,3,1,3,8
pierre,3,1,3,8
au,3,1,3,8
fond,3,1,3,8
d'un,3,1,3,8
trou,3,1,3,8
sans,3,1,3,8
qu'il,3,1,3,8
tournât,3,1,3,8
seulement,3,1,3,8
la,3,1,3,8
tête,3,1,3,8
pour,3,1,3,8
fuir,3,1,3,8
le,3,1,3,8
jour,3,1,3,8
Jamais,3,1,3,9
il,3,1,3,9
ne,3,1,3,9
songeait,3,1,3,9
à,3,1,3,9
une,3,1,3,9
chute,3,1,3,9
possible,3,1,3,9
il,3,1,3,9
se,3,1,3,9
retrouvait,3,1,3,9
chez,3,1,3,9
lui,3,1,3,9
à,3,1,3,9
mesure,3,1,3,9
qu'il,3,1,3,9
descendait,3,1,3,9
dans,3,1,3,9
les,3,1,3,9
ténèbres,3,1,3,9
sous,3,1,3,9
la,3,1,3,9
pluie,3,1,3,9
battante,3,1,3,9
En,3,1,3,10
bas,3,1,3,10
à,3,1,3,10
l'accrochage,3,1,3,10
lorsque,3,1,3,10
Pierron,3,1,3,10
les,3,1,3,10
avait,3,1,3,10
déballés,3,1,3,10
de,3,1,3,10
son,3,1,3,10
air,3,1,3,10
de,3,1,3,10
douceur,3,1,3,10
cafarde,3,1,3,10
c'était,3,1,3,10
toujours,3,1,3,10
le,3,1,3,10
même,3,1,3,10
piétinement,3,1,3,10
de,3,1,3,10
troupeau,3,1,3,10
les,3,1,3,10
chantiers,3,1,3,10
s'en,3,1,3,10
allant,3,1,3,10
chacun,3,1,3,10
à,3,1,3,10
sa,3,1,3,10
taille,3,1,3,10
d'un,3,1,3,10
pas,3,1,3,10
traînard,3,1,3,10
Lui,3,1,3,11
désormais,3,1,3,11
connaissait,3,1,3,11
les,3,1,3,11
galeries,3,1,3,11
de,3,1,3,11
la,3,1,3,11
mine,3,1,3,11
mieux,3,1,3,11
que,3,1,3,11
les,3,1,3,11
rues,3,1,3,11
de,3,1,3,11
Montsou,3,1,3,11
savait,3,1,3,11
qu'il,3,1,3,11
fallait,3,1,3,11
tourner,3,1,3,11
ici,3,1,3,11
se,3,1,3,11
baisser,3,1,3,11
plus,3,1,3,11
loin,3,1,3,11
éviter,3,1,3,11
ailleurs,3,1,3,11
une,3,1,3,11
flaque,3,1,3,11
d'eau,3,1,3,11
Il,3,1,3,12
avait,3,1,3,12
pris,3,1,3,12
une,3,1,3,12
telle,3,1,3,12
habitude,3,1,3,12
de,3,1,3,12
ces,3,1,3,12
deux,3,1,3,12
kilomètres,3,1,3,12
sous,3,1,3,12
terre,3,1,3,12
qu'il,3,1,3,12
les,3,1,3,12
aurait,3,1,3,12
faits,3,1,3,12
sans,3,1,3,12
lampe,3,1,3,12
les,3,1,3,12
mains,3,1,3,12
dans,3,1,3,12
les,3,1,3,12
poches,3,1,3,12
Et,3,1,3,13
toutes,3,1,3,13
les,3,1,3,13
fois,3,1,3,13
les,3,1,3,13
mêmes,3,1,3,13
rencontres,3,1,3,13
se,3,1,3,13
produisaient,3,1,3,13
un,3,1,3,13
porion,3,1,3,13
éclairant,3,1,3,13
au,3,1,3,13
passage,3,1,3,13
la,3,1,3,13
face,3,1,3,13
des,3,1,3,13
ouvriers,3,1,3,13
le,3,1,3,13
père,3,1,3,13
Mouque,3,1,3,13
amenant,3,1,3,13
un,3,1,3,13
cheval,3,1,3,13
Bébert,3,1,3,13
conduisant,3,1,3,13
Bataille,3,1,3,13
qui,3,1,3,13
s'ébrouait,3,1,3,13
Jeanlin,3,1,3,13
courant,3,1,3,13
derrière,3,1,3,13
le,3,1,3,13
train,3,1,3,13
pour,3,1,3,13
refermer,3,1,3,13
les,3,1,3,13
portes,3,1,3,13
d'aérage,3,1,3,13
et,3,1,3,13
la,3,1,3,13
grosse,3,1,3,13
Mouquette,3,1,3,13
et,3,1,3,13
la,3,1,3,13
maigre,3,1,3,13
Lydie,3,1,3,13
poussant,3,1,3,13
leurs,3,1,3,13
berlines,3,1,3,13
A,3,1,4,1
la,3,1,4,1
longue,3,1,4,1
Etienne,3,1,4,1
souffrait,3,1,4,1
aussi,3,1,4,1
beaucoup,3,1,4,1
moins,3,1,4,1
