Mots,Partie,Chapitre,Paragraphe,Phrase
I,6,1,1,1
La,6,1,2,1
première,6,1,2,1
quinzaine,6,1,2,1
de,6,1,2,1
février,6,1,2,1
s'écoula,6,1,2,1
encore,6,1,2,1
un,6,1,2,1
froid,6,1,2,1
noir,6,1,2,1
prolongeait,6,1,2,1
le,6,1,2,1
dur,6,1,2,1
hiver,6,1,2,1
sans,6,1,2,1
pitié,6,1,2,1
des,6,1,2,1
misérables,6,1,2,1
De,6,1,2,2
nouveau,6,1,2,2
les,6,1,2,2
autorités,6,1,2,2
avaient,6,1,2,2
battu,6,1,2,2
les,6,1,2,2
routes,6,1,2,2
le,6,1,2,2
préfet,6,1,2,2
de,6,1,2,2
Lille,6,1,2,2
un,6,1,2,2
procureur,6,1,2,2
un,6,1,2,2
général,6,1,2,2
Et,6,1,2,3
les,6,1,2,3
gendarmes,6,1,2,3
n'avaient,6,1,2,3
pas,6,1,2,3
suffi,6,1,2,3
de,6,1,2,3
la,6,1,2,3
troupe,6,1,2,3
était,6,1,2,3
venue,6,1,2,3
occuper,6,1,2,3
Montsou,6,1,2,3
tout,6,1,2,3
un,6,1,2,3
régiment,6,1,2,3
dont,6,1,2,3
les,6,1,2,3
hommes,6,1,2,3
campaient,6,1,2,3
de,6,1,2,3
Beaugnies,6,1,2,3
à,6,1,2,3
Marchiennes,6,1,2,3
Des,6,1,2,4
postes,6,1,2,4
armés,6,1,2,4
gardaient,6,1,2,4
les,6,1,2,4
puits,6,1,2,4
il,6,1,2,4
y,6,1,2,4
avait,6,1,2,4
des,6,1,2,4
soldats,6,1,2,4
devant,6,1,2,4
chaque,6,1,2,4
machine,6,1,2,4
L'hôtel,6,1,2,5
du,6,1,2,5
directeur,6,1,2,5
les,6,1,2,5
Chantiers,6,1,2,5
de,6,1,2,5
la,6,1,2,5
Compagnie,6,1,2,5
jusqu'aux,6,1,2,5
maisons,6,1,2,5
de,6,1,2,5
certains,6,1,2,5
bourgeois,6,1,2,5
s'étaient,6,1,2,5
hérissés,6,1,2,5
des,6,1,2,5
baïonnettes,6,1,2,5
On,6,1,2,6
n'entendait,6,1,2,6
plus,6,1,2,6
le,6,1,2,6
long,6,1,2,6
du,6,1,2,6
pavé,6,1,2,6
que,6,1,2,6
le,6,1,2,6
passage,6,1,2,6
lent,6,1,2,6
des,6,1,2,6
patrouilles,6,1,2,6
Sur,6,1,2,7
le,6,1,2,7
terri,6,1,2,7
du,6,1,2,7
Voreux,6,1,2,7
continuellement,6,1,2,7
une,6,1,2,7
sentinelle,6,1,2,7
restait,6,1,2,7
plantée,6,1,2,7
comme,6,1,2,7
une,6,1,2,7
vigie,6,1,2,7
au-dessus,6,1,2,7
de,6,1,2,7
la,6,1,2,7
plaine,6,1,2,7
rase,6,1,2,7
dans,6,1,2,7
le,6,1,2,7
coup,6,1,2,7
de,6,1,2,7
vent,6,1,2,7
glacé,6,1,2,7
qui,6,1,2,7
soufflait,6,1,2,7
là-haut,6,1,2,7
et,6,1,2,7
toutes,6,1,2,7
les,6,1,2,7
deux,6,1,2,7
heures,6,1,2,7
ainsi,6,1,2,7
qu'en,6,1,2,7
pays,6,1,2,7
ennemi,6,1,2,7
retentissaient,6,1,2,7
les,6,1,2,7
cris,6,1,2,7
de,6,1,2,7
faction,6,1,2,7
Qui,6,1,3,1
vive,6,1,3,1
Avancez,6,1,3,2
au,6,1,3,2
mot,6,1,3,2
de,6,1,3,2
ralliement,6,1,3,2
Le,6,1,4,1
travail,6,1,4,1
n'avait,6,1,4,1
repris,6,1,4,1
nulle,6,1,4,1
part,6,1,4,1
Au,6,1,4,2
contraire,6,1,4,2
la,6,1,4,2
grève,6,1,4,2
s'était,6,1,4,2
aggravée,6,1,4,2
Crèvecoeur,6,1,4,2
Mirou,6,1,4,2
Madeleine,6,1,4,2
arrêtaient,6,1,4,2
l'extraction,6,1,4,2
comme,6,1,4,2
le,6,1,4,2
Voreux,6,1,4,2
Feutry-Cantel,6,1,4,2
et,6,1,4,2
la,6,1,4,2
Victoire,6,1,4,2
perdaient,6,1,4,2
de,6,1,4,2
leur,6,1,4,2
monde,6,1,4,2
chaque,6,1,4,2
matin,6,1,4,2
à,6,1,4,2
Saint-Thomas,6,1,4,2
jusque-là,6,1,4,2
indemne,6,1,4,2
des,6,1,4,2
hommes,6,1,4,2
manquaient,6,1,4,2
C'était,6,1,4,3
maintenant,6,1,4,3
une,6,1,4,3
obstination,6,1,4,3
muette,6,1,4,3
en,6,1,4,3
face,6,1,4,3
de,6,1,4,3
ce,6,1,4,3
déploiement,6,1,4,3
de,6,1,4,3
force,6,1,4,3
dont,6,1,4,3
s'exaspérait,6,1,4,3
l'orgueil,6,1,4,3
des,6,1,4,3
mineurs,6,1,4,3
Les,6,1,4,4
corons,6,1,4,4
semblaient,6,1,4,4
déserts,6,1,4,4
au,6,1,4,4
milieu,6,1,4,4
des,6,1,4,4
champs,6,1,4,4
de,6,1,4,4
betteraves,6,1,4,4
Pas,6,1,4,5
un,6,1,4,5
ouvrier,6,1,4,5
ne,6,1,4,5
bougeait,6,1,4,5
à,6,1,4,5
peine,6,1,4,5
en,6,1,4,5
rencontrait-on,6,1,4,5
un,6,1,4,5
par,6,1,4,5
hasard,6,1,4,5
isolé,6,1,4,5
le,6,1,4,5
regard,6,1,4,5
oblique,6,1,4,5
