Mots,Partie,Chapitre,Paragraphe,Phrase
I,1,1,1,1
Dans,1,1,2,1
la,1,1,2,1
plaine,1,1,2,1
rase,1,1,2,1
sous,1,1,2,1
la,1,1,2,1
nuit,1,1,2,1
sans,1,1,2,1
étoiles,1,1,2,1
d'une,1,1,2,1
obscurité,1,1,2,1
et,1,1,2,1
d'une,1,1,2,1
épaisseur,1,1,2,1
d'encre,1,1,2,1
un,1,1,2,1
homme,1,1,2,1
suivait,1,1,2,1
seul,1,1,2,1
la,1,1,2,1
grande,1,1,2,1
route,1,1,2,1
de,1,1,2,1
Marchiennes,1,1,2,1
à,1,1,2,1
Montsou,1,1,2,1
dix,1,1,2,1
kilomètres,1,1,2,1
de,1,1,2,1
pavé,1,1,2,1
coupant,1,1,2,1
tout,1,1,2,1
droit,1,1,2,1
à,1,1,2,1
travers,1,1,2,1
les,1,1,2,1
champs,1,1,2,1
de,1,1,2,1
betteraves,1,1,2,1
Devant,1,1,2,2
lui,1,1,2,2
il,1,1,2,2
ne,1,1,2,2
voyait,1,1,2,2
même,1,1,2,2
pas,1,1,2,2
le,1,1,2,2
sol,1,1,2,2
noir,1,1,2,2
et,1,1,2,2
il,1,1,2,2
n'avait,1,1,2,2
la,1,1,2,2
sensation,1,1,2,2
de,1,1,2,2
l'immense,1,1,2,2
horizon,1,1,2,2
plat,1,1,2,2
que,1,1,2,2
par,1,1,2,2
les,1,1,2,2
souffles,1,1,2,2
du,1,1,2,2
vent,1,1,2,2
de,1,1,2,2
mars,1,1,2,2
des,1,1,2,2
rafales,1,1,2,2
larges,1,1,2,2
comme,1,1,2,2
sur,1,1,2,2
une,1,1,2,2
mer,1,1,2,2
glacées,1,1,2,2
d'avoir,1,1,2,2
balayé,1,1,2,2
des,1,1,2,2
lieues,1,1,2,2
de,1,1,2,2
marais,1,1,2,2
et,1,1,2,2
de,1,1,2,2
terres,1,1,2,2
nues,1,1,2,2
Aucune,1,1,2,3
ombre,1,1,2,3
d'arbre,1,1,2,3
ne,1,1,2,3
tachait,1,1,2,3
le,1,1,2,3
ciel,1,1,2,3
le,1,1,2,3
pavé,1,1,2,3
se,1,1,2,3
déroulait,1,1,2,3
avec,1,1,2,3
la,1,1,2,3
rectitude,1,1,2,3
d'une,1,1,2,3
jetée,1,1,2,3
au,1,1,2,3
milieu,1,1,2,3
de,1,1,2,3
l'embrun,1,1,2,3
aveuglant,1,1,2,3
des,1,1,2,3
ténèbres,1,1,2,3
L'homme,1,1,3,1
était,1,1,3,1
parti,1,1,3,1
de,1,1,3,1
Marchiennes,1,1,3,1
vers,1,1,3,1
deux,1,1,3,1
heures,1,1,3,1
Il,1,1,3,2
marchait,1,1,3,2
d'un,1,1,3,2
pas,1,1,3,2
allongé,1,1,3,2
grelottant,1,1,3,2
sous,1,1,3,2
le,1,1,3,2
coton,1,1,3,2
aminci,1,1,3,2
de,1,1,3,2
sa,1,1,3,2
veste,1,1,3,2
et,1,1,3,2
de,1,1,3,2
son,1,1,3,2
pantalon,1,1,3,2
de,1,1,3,2
velours,1,1,3,2
Un,1,1,3,3
petit,1,1,3,3
paquet,1,1,3,3
noué,1,1,3,3
dans,1,1,3,3
un,1,1,3,3
mouchoir,1,1,3,3
à,1,1,3,3
carreaux,1,1,3,3
le,1,1,3,3
gênait,1,1,3,3
beaucoup,1,1,3,3
et,1,1,3,3
il,1,1,3,3
le,1,1,3,3
serrait,1,1,3,3
contre,1,1,3,3
ses,1,1,3,3
flancs,1,1,3,3
tantôt,1,1,3,3
d'un,1,1,3,3
coude,1,1,3,3
tantôt,1,1,3,3
de,1,1,3,3
l'autre,1,1,3,3
pour,1,1,3,3
glisser,1,1,3,3
au,1,1,3,3
fond,1,1,3,3
de,1,1,3,3
ses,1,1,3,3
poches,1,1,3,3
les,1,1,3,3
deux,1,1,3,3
mains,1,1,3,3
à,1,1,3,3
la,1,1,3,3
fois,1,1,3,3
des,1,1,3,3
mains,1,1,3,3
gourdes,1,1,3,3
que,1,1,3,3
les,1,1,3,3
lanières,1,1,3,3
du,1,1,3,3
vent,1,1,3,3
d'est,1,1,3,3
faisaient,1,1,3,3
saigner,1,1,3,3
Une,1,1,3,4
seule,1,1,3,4
idée,1,1,3,4
occupait,1,1,3,4
sa,1,1,3,4
tête,1,1,3,4
vide,1,1,3,4
d'ouvrier,1,1,3,4
sans,1,1,3,4
travail,1,1,3,4
et,1,1,3,4
sans,1,1,3,4
gîte,1,1,3,4
l'espoir,1,1,3,4
que,1,1,3,4
le,1,1,3,4
froid,1,1,3,4
serait,1,1,3,4
moins,1,1,3,4
vif,1,1,3,4
après,1,1,3,4
le,1,1,3,4
lever,1,1,3,4
du,1,1,3,4
jour,1,1,3,4
Depuis,1,1,3,5
une,1,1,3,5
heure,1,1,3,5
il,1,1,3,5
avançait,1,1,3,5
ainsi,1,1,3,5
lorsque,1,1,3,5
sur,1,1,3,5
la,1,1,3,5
gauche,1,1,3,5
à,1,1,3,5
deux,1,1,3,5
kilomètres,1,1,3,5
de,1,1,3,5
Montsou,1,1,3,5
il,1,1,3,5
aperçut,1,1,3,5
des,1,1,3,5
feux,1,1,3,5
rouges,1,1,3,5
trois,1,1,3,5
brasiers,1,1,3,5
brûlant,1,1,3,5
au,1,1,3,5
plein,1,1,3,5
air,1,1,3,5
et,1,1,3,5
comme,1,1,3,5
suspendus,1,1,3,5
D'abord,1,1,3,6
il,1,1,3,6
hésita,1,1,3,6
pris,1,1,3,6
de,1,1,3,6
crainte,1,1,3,6
puis,1,1,3,6
il,1,1,3,6
ne,1,1,3,6
put,1,1,3,6
résister,1,1,3,6
au,1,1,3,6
besoin,1,1,3,6
douloureux,1,1,3,6
de,1,1,3,6
se,1,1,3,6
chauffer,1,1,3,6
un,1,1,3,6
instant,1,1,3,6
les,1,1,3,6
mains,1,1,3,6
Un,1,1,4,1
chemin,1,1,4,1
creux,1,1,4,1
s'enfonçait,1,1,4,1
Tout,1,1,4,2
disparut,1,1,4,2
L'homme,1,1,4,3
avait,1,1,4,3
à,1,1,4,3
droite,1,1,4,3
une,1,1,4,3
palissade,1,1,4,3
quelque,1,1,4,3
mur,1,1,4,3
de,1,1,4,3
grosses,1,1,4,3
planches,1,1,4,3
fermant,1,1,4,3
une,1,1,4,3
voie,1,1,4,3
ferrée,1,1,4,3
tandis,1,1,4,3
qu'un,1,1,4,3
talus,1,1,4,3
d'herbe,1,1,4,3
s'élevait,1,1,4,3
à,1,1,4,3
gauche,1,1,4,3
surmonté,1,1,4,3
de,1,1,4,3
pignons,1,1,4,3
confus,1,1,4,3
d'une,1,1,4,3
vision,1,1,4,3
de,1,1,4,3
village,1,1,4,3
aux,1,1,4,3
toitures,1,1,4,3
basses,1,1,4,3
et,1,1,4,3
uniformes,1,1,4,3
Il,1,1,4,4
fit,1,1,4,4
environ,1,1,4,4
deux,1,1,4,4
cents,1,1,4,4
pas,1,1,4,4
Brusquement,1,1,4,5
à,1,1,4,5
un,1,1,4,5
coude,1,1,4,5
du,1,1,4,5
chemin,1,1,4,5
les,1,1,4,5
feux,1,1,4,5
reparurent,1,1,4,5
près,1,1,4,5
de,1,1,4,5
lui,1,1,4,5
sans,1,1,4,5
qu'il,1,1,4,5
comprit,1,1,4,5
davantage,1,1,4,5
comment,1,1,4,5
ils,1,1,4,5
brûlaient,1,1,4,5
si,1,1,4,5
haut,1,1,4,5
dans,1,1,4,5
le,1,1,4,5
ciel,1,1,4,5
mort,1,1,4,5
pareils,1,1,4,5
à,1,1,4,5
des,1,1,4,5
lunes,1,1,4,5
fumeuses,1,1,4,5
Mais,1,1,4,6
au,1,1,4,6
