Mots,Partie,Chapitre,Paragraphe,Phrase
I,7,1,1,1
Les,7,1,2,1
coups,7,1,2,1
de,7,1,2,1
feu,7,1,2,1
de,7,1,2,1
Montsou,7,1,2,1
avaient,7,1,2,1
retenti,7,1,2,1
jusqu'à,7,1,2,1
Paris,7,1,2,1
en,7,1,2,1
un,7,1,2,1
formidable,7,1,2,1
écho,7,1,2,1
Depuis,7,1,2,2
quatre,7,1,2,2
jours,7,1,2,2
tous,7,1,2,2
les,7,1,2,2
journaux,7,1,2,2
de,7,1,2,2
l'opposition,7,1,2,2
s'indignaient,7,1,2,2
étalaient,7,1,2,2
en,7,1,2,2
première,7,1,2,2
page,7,1,2,2
des,7,1,2,2
récits,7,1,2,2
atroces,7,1,2,2
vingt-cinq,7,1,2,2
blessés,7,1,2,2
quatorze,7,1,2,2
morts,7,1,2,2
dont,7,1,2,2
deux,7,1,2,2
enfants,7,1,2,2
et,7,1,2,2
trois,7,1,2,2
femmes,7,1,2,2
et,7,1,2,2
il,7,1,2,2
y,7,1,2,2
avait,7,1,2,2
encore,7,1,2,2
les,7,1,2,2
prisonniers,7,1,2,2
Levaque,7,1,2,2
était,7,1,2,2
devenu,7,1,2,2
une,7,1,2,2
sorte,7,1,2,2
de,7,1,2,2
héros,7,1,2,2
on,7,1,2,2
lui,7,1,2,2
prêtait,7,1,2,2
une,7,1,2,2
réponse,7,1,2,2
au,7,1,2,2
juge,7,1,2,2
d'instruction,7,1,2,2
d'une,7,1,2,2
grandeur,7,1,2,2
antique,7,1,2,2
L'Empire,7,1,2,3
atteint,7,1,2,3
en,7,1,2,3
pleine,7,1,2,3
chair,7,1,2,3
par,7,1,2,3
ces,7,1,2,3
quelques,7,1,2,3
balles,7,1,2,3
affectait,7,1,2,3
le,7,1,2,3
calme,7,1,2,3
de,7,1,2,3
la,7,1,2,3
toute-puissance,7,1,2,3
sans,7,1,2,3
se,7,1,2,3
rendre,7,1,2,3
compte,7,1,2,3
lui-même,7,1,2,3
de,7,1,2,3
la,7,1,2,3
gravité,7,1,2,3
de,7,1,2,3
sa,7,1,2,3
blessure,7,1,2,3
C'était,7,1,2,4
simplement,7,1,2,4
une,7,1,2,4
collision,7,1,2,4
regrettable,7,1,2,4
quelque,7,1,2,4
chose,7,1,2,4
de,7,1,2,4
perdu,7,1,2,4
là-bas,7,1,2,4
dans,7,1,2,4
le,7,1,2,4
pays,7,1,2,4
noir,7,1,2,4
très,7,1,2,4
loin,7,1,2,4
du,7,1,2,4
pavé,7,1,2,4
parisien,7,1,2,4
qui,7,1,2,4
faisait,7,1,2,4
l'opinion,7,1,2,4
On,7,1,2,5
oublierait,7,1,2,5
vite,7,1,2,5
la,7,1,2,5
Compagnie,7,1,2,5
avait,7,1,2,5
reçu,7,1,2,5
l'ordre,7,1,2,5
officieux,7,1,2,5
d'étouffer,7,1,2,5
l'affaire,7,1,2,5
et,7,1,2,5
d'en,7,1,2,5
finir,7,1,2,5
avec,7,1,2,5
cette,7,1,2,5
grève,7,1,2,5
dont,7,1,2,5
la,7,1,2,5
durée,7,1,2,5
irritante,7,1,2,5
tournait,7,1,2,5
au,7,1,2,5
péril,7,1,2,5
social,7,1,2,5
Aussi,7,1,3,1
dès,7,1,3,1
le,7,1,3,1
mercredi,7,1,3,1
matin,7,1,3,1
vit-on,7,1,3,1
débarquer,7,1,3,1
à,7,1,3,1
Montsou,7,1,3,1
trois,7,1,3,1
des,7,1,3,1
régisseurs,7,1,3,1
La,7,1,3,2
petite,7,1,3,2
ville,7,1,3,2
qui,7,1,3,2
n'avait,7,1,3,2
osé,7,1,3,2
jusque-là,7,1,3,2
se,7,1,3,2
réjouir,7,1,3,2
du,7,1,3,2
massacre,7,1,3,2
le,7,1,3,2
coeur,7,1,3,2
malade,7,1,3,2
respira,7,1,3,2
et,7,1,3,2
goûta,7,1,3,2
la,7,1,3,2
joie,7,1,3,2
d'être,7,1,3,2
enfin,7,1,3,2
sauvée,7,1,3,2
Justement,7,1,3,3
le,7,1,3,3
temps,7,1,3,3
s'était,7,1,3,3
mis,7,1,3,3
au,7,1,3,3
beau,7,1,3,3
un,7,1,3,3
clair,7,1,3,3
soleil,7,1,3,3
un,7,1,3,3
de,7,1,3,3
ces,7,1,3,3
premiers,7,1,3,3
soleils,7,1,3,3
de,7,1,3,3
février,7,1,3,3
dont,7,1,3,3
la,7,1,3,3
tiédeur,7,1,3,3
verdit,7,1,3,3
les,7,1,3,3
pointes,7,1,3,3
des,7,1,3,3
lilas,7,1,3,3
On,7,1,3,4
avait,7,1,3,4
rabattu,7,1,3,4
toutes,7,1,3,4
les,7,1,3,4
persiennes,7,1,3,4
de,7,1,3,4
la,7,1,3,4
Régie,7,1,3,4
le,7,1,3,4
vaste,7,1,3,4
bâtiment,7,1,3,4
semblait,7,1,3,4
revivre,7,1,3,4
et,7,1,3,4
les,7,1,3,4
meilleurs,7,1,3,4
bruits,7,1,3,4
en,7,1,3,4
sortaient,7,1,3,4
on,7,1,3,4
disait,7,1,3,4
ces,7,1,3,4
messieurs,7,1,3,4
très,7,1,3,4
affectés,7,1,3,4
par,7,1,3,4
la,7,1,3,4
catastrophe,7,1,3,4
accourus,7,1,3,4
pour,7,1,3,4
ouvrir,7,1,3,4
des,7,1,3,4
bras,7,1,3,4
paternels,7,1,3,4
aux,7,1,3,4
égarés,7,1,3,4
des,7,1,3,4
corons,7,1,3,4
Maintenant,7,1,3,5
que,7,1,3,5
le,7,1,3,5
coup,7,1,3,5
se,7,1,3,5
trouvait,7,1,3,5
porté,7,1,3,5
plus,7,1,3,5
fort,7,1,3,5
sans,7,1,3,5
doute,7,1,3,5
qu'ils,7,1,3,5
ne,7,1,3,5
l'eussent,7,1,3,5
voulu,7,1,3,5
ils,7,1,3,5
se,7,1,3,5
prodiguaient,7,1,3,5
dans,7,1,3,5
leur,7,1,3,5
besogne,7,1,3,5
de,7,1,3,5
sauveurs,7,1,3,5
ils,7,1,3,5
décrétaient,7,1,3,5
des,7,1,3,5
mesures,7,1,3,5
tardives,7,1,3,5
et,7,1,3,5
excellentes,7,1,3,5
D'abord,7,1,3,6
ils,7,1,3,6
congédièrent,7,1,3,6
les,7,1,3,6
Borains,7,1,3,6
en,7,1,3,6
menant,7,1,3,6
grand,7,1,3,6
tapage,7,1,3,6
de,7,1,3,6
cette,7,1,3,6
concession,7,1,3,6
extrême,7,1,3,6
à,7,1,3,6
leurs,7,1,3,6
ouvriers,7,1,3,6
Puis,7,1,3,7
ils,7,1,3,7
firent,7,1,3,7
cesser,7,1,3,7
l'occupation,7,1,3,7
militaire,7,1,3,7
des,7,1,3,7
fosses,7,1,3,7
que,7,1,3,7
les,7,1,3,7
grévistes,7,1,3,7
écrasés,7,1,3,7
ne,7,1,3,7
menaçaient,7,1,3,7
plus,7,1,3,7
Ce,7,1,3,8
furent,7,1,3,8
eux,7,1,3,8
encore,7,1,3,8
qui,7,1,3,8
obtinrent,7,1,3,8
le,7,1,3,8
silence,7,1,3,8
au,7,1,3,8
sujet,7,1,3,8
de,7,1,3,8
la,7,1,3,8
sentinelle,7,1,3,8
du,7,1,3,8
Voreux,7,1,3,8
disparue,7,1,3,8
on,7,1,3,8
avait,7,1,3,8
fouillé,7,1,3,8
le,7,1,3,8
pays,7,1,3,8
sans,7,1,3,8
retrouver,7,1,3,8
ni,7,1,3,8
le,7,1,3,8
fusil,7,1,3,8
ni,7,1,3,8
le,7,1,3,8
cadavre,7,1,3,8
on,7,1,3,8
se,7,1,3,8
décida,7,1,3,8
à,7,1,3,8
porter,7,1,3,8
le,7,1,3,8
soldat,7,1,3,8
déserteur,7,1,3,8
bien,7,1,3,8
qu'on,7,1,3,8
eût,7,1,3,8
le,7,1,3,8
soupçon,7,1,3,8
d'un,7,1,3,8
crime,7,1,3,8
En,7,1,3,9
toutes,7,1,3,9
choses,7,1,3,9
ils,7,1,3,9
s'efforcèrent,7,1,3,9
ainsi,7,1,3,9
d'atténuer,7,1,3,9
les,7,1,3,9
événements,7,1,3,9
tremblant,7,1,3,9
de,7,1,3,9
la,7,1,3,9
peur,7,1,3,9
du,7,1,3,9
lendemain,7,1,3,9
jugeant,7,1,3,9
dangereux,7,1,3,9
d'avouer,7,1,3,9
l'irrésistible,7,1,3,9
sauvagerie,7,1,3,9
d'une,7,1,3,9
foule,7,1,3,9
lâchée,7,1,3,9
au,7,1,3,9
travers,7,1,3,9
des,7,1,3,9
charpentes,7,1,3,9
caduques,7,1,3,9
du,7,1,3,9
vieux,7,1,3,9
monde,7,1,3,9
Et,7,1,3,10
d'ailleurs,7,1,3,10
ce,7,1,3,10
travail,7,1,3,10
de,7,1,3,10
conciliation,7,1,3,10
ne,7,1,3,10
les,7,1,3,10
empêchait,7,1,3,10
pas,7,1,3,10
de,7,1,3,10
conduire,7,1,3,10
à,7,1,3,10
bien,7,1,3,10
les,7,1,3,10
affaires,7,1,3,10
purement,7,1,3,10
administratives,7,1,3,10
car,7,1,3,10
on,7,1,3,10
avait,7,1,3,10
vu,7,1,3,10
Deneulin,7,1,3,10
retourner,7,1,3,10
à,7,1,3,10
la,7,1,3,10
Régie,7,1,3,10
où,7,1,3,10
il,7,1,3,10
se,7,1,3,10
rencontrait,7,1,3,10
avec,7,1,3,10
M,7,1,3,10
Hennebeau,7,1,3,10
Les,7,1,3,11
pourparlers,7,1,3,11
continuaient,7,1,3,11
pour,7,1,3,11
l'achat,7,1,3,11
de,7,1,3,11
Vandame,7,1,3,11
on,7,1,3,11
assurait,7,1,3,11
qu'il,7,1,3,11
allait,7,1,3,11
accepter,7,1,3,11
les,7,1,3,11
offres,7,1,3,11
de,7,1,3,11
ces,7,1,3,11
messieurs,7,1,3,11
Mais,7,1,4,1
ce,7,1,4,1
qui,7,1,4,1
remua,7,1,4,1
particulièrement,7,1,4,1
le,7,1,4,1
pays,7,1,4,1
ce,7,1,4,1
furent,7,1,4,1
de,7,1,4,1
grandes,7,1,4,1
affiches,7,1,4,1
jaunes,7,1,4,1
que,7,1,4,1
les,7,1,4,1
régisseurs,7,1,4,1
firent,7,1,4,1
