Mots,Partie,Chapitre,Paragraphe,Phrase
I,4,1,1,1
Ce,4,1,2,1
lundi-là,4,1,2,1
les,4,1,2,1
Hennebeau,4,1,2,1
avaient,4,1,2,1
à,4,1,2,1
déjeuner,4,1,2,1
les,4,1,2,1
Grégoire,4,1,2,1
et,4,1,2,1
leur,4,1,2,1
fille,4,1,2,1
Cécile,4,1,2,1
C'était,4,1,2,2
toute,4,1,2,2
une,4,1,2,2
partie,4,1,2,2
projetée,4,1,2,2
en,4,1,2,2
sortant,4,1,2,2
de,4,1,2,2
table,4,1,2,2
Paul,4,1,2,2
Négrel,4,1,2,2
devait,4,1,2,2
faire,4,1,2,2
visiter,4,1,2,2
à,4,1,2,2
ces,4,1,2,2
dames,4,1,2,2
une,4,1,2,2
fosse,4,1,2,2
Saint-Thomas,4,1,2,2
qu'on,4,1,2,2
réinstallait,4,1,2,2
avec,4,1,2,2
luxe,4,1,2,2
Mais,4,1,2,3
il,4,1,2,3
n'y,4,1,2,3
avait,4,1,2,3
là,4,1,2,3
qu'un,4,1,2,3
aimable,4,1,2,3
prétexte,4,1,2,3
cette,4,1,2,3
partie,4,1,2,3
était,4,1,2,3
une,4,1,2,3
invention,4,1,2,3
de,4,1,2,3
Mme,4,1,2,3
Hennebeau,4,1,2,3
pour,4,1,2,3
hâter,4,1,2,3
le,4,1,2,3
mariage,4,1,2,3
de,4,1,2,3
Cécile,4,1,2,3
et,4,1,2,3
de,4,1,2,3
Paul,4,1,2,3
Et,4,1,3,1
brusquement,4,1,3,1
ce,4,1,3,1
lundi,4,1,3,1
même,4,1,3,1
à,4,1,3,1
quatre,4,1,3,1
heures,4,1,3,1
du,4,1,3,1
matin,4,1,3,1
la,4,1,3,1
grève,4,1,3,1
venait,4,1,3,1
d'éclater,4,1,3,1
Lorsque,4,1,3,2
le,4,1,3,2
1er,4,1,3,2
décembre,4,1,3,2
la,4,1,3,2
Compagnie,4,1,3,2
avait,4,1,3,2
appliqué,4,1,3,2
son,4,1,3,2
nouveau,4,1,3,2
système,4,1,3,2
de,4,1,3,2
salaire,4,1,3,2
les,4,1,3,2
mineurs,4,1,3,2
étaient,4,1,3,2
restés,4,1,3,2
calmes,4,1,3,2
A,4,1,3,3
la,4,1,3,3
fin,4,1,3,3
de,4,1,3,3
la,4,1,3,3
quinzaine,4,1,3,3
le,4,1,3,3
jour,4,1,3,3
de,4,1,3,3
la,4,1,3,3
paie,4,1,3,3
pas,4,1,3,3
un,4,1,3,3
n'avait,4,1,3,3
fait,4,1,3,3
la,4,1,3,3
moindre,4,1,3,3
réclamation,4,1,3,3
Tout,4,1,3,4
le,4,1,3,4
personnel,4,1,3,4
depuis,4,1,3,4
le,4,1,3,4
directeur,4,1,3,4
jusqu'au,4,1,3,4
dernier,4,1,3,4
des,4,1,3,4
surveillants,4,1,3,4
croyait,4,1,3,4
le,4,1,3,4
tarif,4,1,3,4
accepté,4,1,3,4
et,4,1,3,4
la,4,1,3,4
surprise,4,1,3,4
était,4,1,3,4
grande,4,1,3,4
depuis,4,1,3,4
le,4,1,3,4
matin,4,1,3,4
devant,4,1,3,4
cette,4,1,3,4
déclaration,4,1,3,4
de,4,1,3,4
guerre,4,1,3,4
d'une,4,1,3,4
tactique,4,1,3,4
et,4,1,3,4
d'un,4,1,3,4
ensemble,4,1,3,4
qui,4,1,3,4
semblaient,4,1,3,4
indiquer,4,1,3,4
une,4,1,3,4
direction,4,1,3,4
énergique,4,1,3,4
A,4,1,4,1
cinq,4,1,4,1
heures,4,1,4,1
Dansaert,4,1,4,1
réveilla,4,1,4,1
M,4,1,4,1
Hennebeau,4,1,4,1
pour,4,1,4,1
l'avertir,4,1,4,1
que,4,1,4,1
pas,4,1,4,1
un,4,1,4,1
homme,4,1,4,1
n'était,4,1,4,1
descendu,4,1,4,1
au,4,1,4,1
Voreux,4,1,4,1
Le,4,1,4,2
coron,4,1,4,2
des,4,1,4,2
Deux-Cent-Quarante,4,1,4,2
qu'il,4,1,4,2
avait,4,1,4,2
traversé,4,1,4,2
dormait,4,1,4,2
profondément,4,1,4,2
fenêtres,4,1,4,2
et,4,1,4,2
portes,4,1,4,2
closes,4,1,4,2
Et,4,1,4,3
dès,4,1,4,3
que,4,1,4,3
le,4,1,4,3
directeur,4,1,4,3
eut,4,1,4,3
sauté,4,1,4,3
du,4,1,4,3
lit,4,1,4,3
les,4,1,4,3
yeux,4,1,4,3
gros,4,1,4,3
encore,4,1,4,3
de,4,1,4,3
sommeil,4,1,4,3
il,4,1,4,3
fut,4,1,4,3
accablé,4,1,4,3
de,4,1,4,3
quart,4,1,4,3
d'heure,4,1,4,3
en,4,1,4,3
quart,4,1,4,3
d'heure,4,1,4,3
des,4,1,4,3
messagers,4,1,4,3
accouraient,4,1,4,3
des,4,1,4,3
dépêches,4,1,4,3
tombaient,4,1,4,3
sur,4,1,4,3
son,4,1,4,3
bureau,4,1,4,3
dru,4,1,4,3
comme,4,1,4,3
grêle,4,1,4,3
D'abord,4,1,4,4
il,4,1,4,4
espéra,4,1,4,4
que,4,1,4,4
la,4,1,4,4
révolte,4,1,4,4
se,4,1,4,4
limitait,4,1,4,4
au,4,1,4,4
Voreux,4,1,4,4
mais,4,1,4,4
les,4,1,4,4
nouvelles,4,1,4,4
devenaient,4,1,4,4
plus,4,1,4,4
graves,4,1,4,4
à,4,1,4,4
chaque,4,1,4,4
minute,4,1,4,4
c'était,4,1,4,4
Mirou,4,1,4,4
c'était,4,1,4,4
Crèvecoeur,4,1,4,4
c'était,4,1,4,4
Madeleine,4,1,4,4
où,4,1,4,4
il,4,1,4,4
n'avait,4,1,4,4
paru,4,1,4,4
que,4,1,4,4
les,4,1,4,4
palefreniers,4,1,4,4
c'étaient,4,1,4,4
la,4,1,4,4
Victoire,4,1,4,4
et,4,1,4,4
Feutry-Cantel,4,1,4,4
les,4,1,4,4
deux,4,1,4,4
fosses,4,1,4,4
les,4,1,4,4
mieux,4,1,4,4
disciplinées,4,1,4,4
dans,4,1,4,4
lesquelles,4,1,4,4
la,4,1,4,4
descente,4,1,4,4
se,4,1,4,4
trouvait,4,1,4,4
réduite,4,1,4,4
d'un,4,1,4,4
tiers,4,1,4,4
Saint-Thomas,4,1,4,4
seul,4,1,4,4
avait,4,1,4,4
son,4,1,4,4
monde,4,1,4,4
au,4,1,4,4
complet,4,1,4,4
et,4,1,4,4
semblait,4,1,4,4
demeurer,4,1,4,4
en,4,1,4,4
dehors,4,1,4,4
du,4,1,4,4
mouvement,4,1,4,4
Jusqu'à,4,1,4,5
neuf,4,1,4,5
heures,4,1,4,5
il,4,1,4,5
dicta,4,1,4,5
les,4,1,4,5
dépêches,4,1,4,5
télégraphiant,4,1,4,5
de,4,1,4,5
tous,4,1,4,5
côtés,4,1,4,5
au,4,1,4,5
préfet,4,1,4,5
de,4,1,4,5
Lille,4,1,4,5
aux,4,1,4,5
régisseurs,4,1,4,5
de,4,1,4,5
la,4,1,4,5
Compagnie,4,1,4,5
prévenant,4,1,4,5
les,4,1,4,5
autorités,4,1,4,5
demandant,4,1,4,5
des,4,1,4,5
ordres,4,1,4,5
Il,4,1,4,6
avait,4,1,4,6
envoyé,4,1,4,6
Négrel,4,1,4,6
faire,4,1,4,6
le,4,1,4,6
tour,4,1,4,6
des,4,1,4,6
fosses,4,1,4,6
voisines,4,1,4,6
pour,4,1,4,6
avoir,4,1,4,6
des,4,1,4,6
renseignements,4,1,4,6
précis,4,1,4,6
Tout,4,1,5,1
d'un,4,1,5,1
coup,4,1,5,1
M,4,1,5,1
Hennebeau,4,1,5,1
songea,4,1,5,1
au,4,1,5,1
déjeuner,4,1,5,1
et,4,1,5,1
il,4,1,5,1
allait,4,1,5,1
envoyer,4,1,5,1
le,4,1,5,1
cocher,4,1,5,1
avertir,4,1,5,1
les,4,1,5,1
Grégoire,4,1,5,1
que,4,1,5,1
la,4,1,5,1
partie,4,1,5,1
était,4,1,5,1
remise,4,1,5,1
lorsqu'une,4,1,5,1
hésitation,4,1,5,1
un,4,1,5,1
manque,4,1,5,1
de,4,1,5,1
volonté,4,1,5,1
l'arrêta,4,1,5,1
lui,4,1,5,1
qui,4,1,5,1
venait,4,1,5,1
en,4,1,5,1
quelques,4,1,5,1
phrases,4,1,5,1
brèves,4,1,5,1
de,4,1,5,1
préparer,4,1,5,1
militairement,4,1,5,1
son,4,1,5,1
champ,4,1,5,1
de,4,1,5,1
bataille,4,1,5,1
Il,4,1,5,2
monta,4,1,5,2
chez,4,1,5,2
Mme,4,1,5,2
Hennebeau,4,1,5,2
qu'une,4,1,5,2
femme,4,1,5,2
de,4,1,5,2
chambre,4,1,5,2
achevait,4,1,5,2
de,4,1,5,2
coiffer,4,1,5,2
dans,4,1,5,2
son,4,1,5,2
cabinet,4,1,5,2
de,4,1,5,2
toilette,4,1,5,2
Ah,4,1,6,1
ils,4,1,6,2
sont,4,1,6,2
en,4,1,6,2
grève,4,1,6,2
dit-elle,4,1,6,2
tranquillement,4,1,6,2
lorsqu'il,4,1,6,2
l'eut,4,1,6,2
consultée,4,1,6,2
Eh,4,1,6,3
bien,4,1,6,3
qu'est-ce,4,1,6,3
que,4,1,6,3
cela,4,1,6,3
nous,4,1,6,3
fait,4,1,6,3
Nous,4,1,6,4
n'allons,4,1,6,4
point,4,1,6,4
cesser,4,1,6,4
de,4,1,6,4
manger,4,1,6,4
n'est-ce,4,1,6,4
pas,4,1,6,4
Et,4,1,7,1
elle,4,1,7,1
s'entêta,4,1,7,1
il,4,1,7,1
